N,GPU,CPU,Speedup
1, 0.000015, 0.000002, 0.133333
2, 0.000015, 0.000002, 0.133333
4, 0.000061, 0.000003, 0.049180
8, 0.000064, 0.000007, 0.109375
16, 0.000092, 0.000026, 0.282609
32, 0.000109, 0.000108, 0.990826
64, 0.000108, 0.000566, 5.240741
64, 0.000129, 0.000528, 4.093023
128, 0.000096, 0.001914, 19.937500
256, 0.000106, 0.008296, 78.264151
512, 0.000155, 0.031209, 201.348387
1024, 0.000176, 0.125479, 712.948864
2048, 0.000140, 0.520165, 3715.464286
4096, 0.000600, 2.460550, 4100.916667
8192, 0.002467, 9.972366, 4042.304824
