N,GPU,CPU,Speedup
1, 0.000095, 0.000002, 0.021053
2, 0.000092, 0.000003, 0.032609
4, 0.000098, 0.000003, 0.030612
8, 0.000090, 0.000003, 0.033333
16, 0.000098, 0.000003, 0.030612
32, 0.000079, 0.000003, 0.037975
64, 0.000061, 0.000004, 0.065574
128, 0.000056, 0.000005, 0.089286
256, 0.000065, 0.000006, 0.092308
512, 0.000062, 0.000013, 0.209677
1024, 0.000103, 0.000021, 0.203883
2048, 0.000066, 0.000038, 0.575758
4096, 0.000106, 0.000079, 0.745283
8192, 0.000094, 0.000148, 1.574468
16384, 0.000106, 0.000294, 2.773585
32768, 0.000120, 0.000610, 5.083333
65536, 0.000132, 0.001227, 9.295455
131072, 0.000150, 0.002535, 16.900000
262144, 0.000150, 0.004695, 31.300000
524288, 0.000160, 0.009258, 57.862500
1048576, 0.000265, 0.018806, 70.966038
2097152, 0.000164, 0.035326, 215.402439
4194304, 0.000200, 0.069851, 349.255000
8388608, 0.000434, 0.152310, 350.944700
16777216, 0.000431, 0.293656, 681.336427
33554432, 0.000688, 0.572412, 831.994186
67108864, 0.000506, 1.130591, 2234.369565
