N,GPU,CPU,Speedup
1, 0.000092, 0.000003, 0.032609
2, 0.000061, 0.000004, 0.065574
4, 0.000097, 0.000004, 0.041237
8, 0.000059, 0.000003, 0.050847
16, 0.000059, 0.000004, 0.067797
32, 0.000059, 0.000004, 0.067797
64, 0.000060, 0.000004, 0.066667
128, 0.000060, 0.000005, 0.083333
256, 0.000058, 0.000006, 0.103448
512, 0.000061, 0.000009, 0.147541
1024, 0.000059, 0.000014, 0.237288
2048, 0.000059, 0.000031, 0.525424
4096, 0.000059, 0.000074, 1.254237
8192, 0.000061, 0.000138, 2.262295
16384, 0.000065, 0.000260, 4.000000
32768, 0.000101, 0.000530, 5.247525
65536, 0.000114, 0.001071, 9.394737
131072, 0.000145, 0.002041, 14.075862
262144, 0.000217, 0.004113, 18.953917
524288, 0.000169, 0.008286, 49.029586
1048576, 0.000184, 0.014797, 80.418478
2097152, 0.000165, 0.027093, 164.200000
4194304, 0.000177, 0.054982, 310.632768
8388608, 0.000181, 0.108796, 601.082873
16777216, 0.000193, 0.242528, 1256.621762
33554432, 0.000366, 0.500728, 1368.109290
67108864, 0.001225, 0.994974, 812.223673
