N,GPU,CPU,Speedup
1, 0.000090, 0.000002, 0.022222
9, 0.000092, 0.000002, 0.021739
17, 0.000070, 0.000003, 0.042857
25, 0.000093, 0.000002, 0.021505
33, 0.000088, 0.000003, 0.034091
41, 0.000092, 0.000003, 0.032609
49, 0.000063, 0.000003, 0.047619
57, 0.000064, 0.000004, 0.062500
65, 0.000063, 0.000003, 0.047619
73, 0.000092, 0.000004, 0.043478
81, 0.000090, 0.000004, 0.044444
89, 0.000091, 0.000003, 0.032967
97, 0.000091, 0.000004, 0.043956
105, 0.000064, 0.000004, 0.062500
113, 0.000081, 0.000004, 0.049383
121, 0.000092, 0.000005, 0.054348
129, 0.000094, 0.000005, 0.053191
137, 0.000091, 0.000005, 0.054945
145, 0.000090, 0.000005, 0.055556
153, 0.000089, 0.000005, 0.056180
161, 0.000091, 0.000005, 0.054945
169, 0.000089, 0.000005, 0.056180
177, 0.000091, 0.000006, 0.065934
185, 0.000092, 0.000006, 0.065217
193, 0.000063, 0.000006, 0.095238
201, 0.000090, 0.000006, 0.066667
209, 0.000090, 0.000006, 0.066667
217, 0.000064, 0.000006, 0.093750
225, 0.000090, 0.000006, 0.066667
233, 0.000092, 0.000007, 0.076087
241, 0.000094, 0.000006, 0.063830
249, 0.000062, 0.000007, 0.112903
257, 0.000092, 0.000007, 0.076087
265, 0.000094, 0.000007, 0.074468
273, 0.000062, 0.000007, 0.112903
281, 0.000092, 0.000008, 0.086957
289, 0.000062, 0.000007, 0.112903
297, 0.000064, 0.000008, 0.125000
305, 0.000063, 0.000008, 0.126984
313, 0.000062, 0.000008, 0.129032
321, 0.000092, 0.000008, 0.086957
329, 0.000061, 0.000008, 0.131148
337, 0.000088, 0.000008, 0.090909
345, 0.000091, 0.000009, 0.098901
353, 0.000092, 0.000008, 0.086957
361, 0.000091, 0.000009, 0.098901
369, 0.000085, 0.000009, 0.105882
377, 0.000066, 0.000010, 0.151515
385, 0.000094, 0.000009, 0.095745
393, 0.000089, 0.000010, 0.112360
401, 0.000090, 0.000010, 0.111111
409, 0.000094, 0.000009, 0.095745
417, 0.000092, 0.000009, 0.097826
425, 0.000064, 0.000010, 0.156250
433, 0.000090, 0.000010, 0.111111
