N,GPU,CPU,Speedup
1, 0.000046, 0.000002, 0.043478
33, 0.000046, 0.000412, 8.956522
65, 0.000050, 0.003070, 61.400000
97, 0.000056, 0.010168, 181.571429
129, 0.000052, 0.024231, 465.980769
161, 0.000057, 0.049984, 876.912281
193, 0.000056, 0.088762, 1585.035714
225, 0.000059, 0.149958, 2541.661017
257, 0.000066, 0.208773, 3163.227273
289, 0.000066, 0.342179, 5184.530303
321, 0.000064, 0.481089, 7517.015625
353, 0.000063, 0.647111, 10271.603175
385, 0.000074, 0.838613, 11332.608108
417, 0.000067, 1.068327, 15945.179104
449, 0.000064, 1.417641, 22150.640625
481, 0.000066, 1.676566, 25402.515152
513, 0.000064, 2.141570, 33462.031250
545, 0.000067, 2.511646, 37487.253731
577, 0.000075, 3.152002, 42026.693333
609, 0.000072, 4.010781, 55705.291667
641, 0.000069, 5.067933, 73448.304348
673, 0.000069, 5.848545, 84761.521739
705, 0.000067, 7.387780, 110265.373134
737, 0.000070, 8.613912, 123055.885714
769, 0.000073, 10.445367, 143087.219178
801, 0.000076, 10.084880, 132695.789474
833, 0.000072, 13.877011, 192736.263889
865, 0.000068, 13.683644, 201230.058824
897, 0.000077, 17.856633, 231904.324675
929, 0.000072, 18.179534, 252493.527778
961, 0.000078, 20.855603, 267379.525641
993, 0.000092, 27.501435, 298928.641304
1025, 0.000070, 26.101604, 372880.057143
1057, 0.000080, 30.848071, 385600.887500
1089, 0.000077, 30.718284, 398938.753247
1121, 0.000077, 33.494593, 434994.714286
1153, 0.000067, 35.249809, 526116.552239
1185, 0.000087, 41.224179, 473841.137931
1217, 0.000073, 44.771385, 613306.643836
1249, 0.000071, 49.242468, 693555.887324
1281, 0.000067, 50.514875, 753953.358209
1313, 0.000068, 57.476410, 845241.323529
1345, 0.000147, 61.426548, 417867.673469
1377, 0.000071, 67.841148, 955509.126761
1409, 0.000078, 69.326677, 888803.551282
1441, 0.000074, 74.939964, 1012702.216216
1473, 0.000078, 80.969783, 1038074.141026
1505, 0.000077, 83.460569, 1083903.493506
1537, 0.000069, 89.849588, 1302167.942029
1569, 0.000067, 99.723572, 1488411.522388
1601, 0.000085, 103.510307, 1217768.317647
1633, 0.000075, 109.323827, 1457651.026667
1665, 0.000124, 114.793678, 925755.467742
1697, 0.000074, 121.888702, 1647144.621622
1729, 0.000071, 126.083396, 1775822.478873
1761, 0.000077, 132.867148, 1725547.376623
1793, 0.000071, 146.881703, 2068756.380282
1825, 0.000082, 151.706953, 1850084.792683
1857, 0.000072, 159.902103, 2220862.541667
1889, 0.000076, 164.972358, 2170688.921053
1921, 0.000079, 171.698597, 2173399.962025
1953, 0.000082, 183.594984, 2238963.219512
1985, 0.000079, 194.260151, 2458989.253165
2017, 0.000081, 204.537837, 2525158.481481
